PSR_Sub_Operation_ID__c,Name,PSR_Approval_Date__c,PSR_Available_Amount__c,PSR_Cancel_Amount__c,PSR_Applicable__c,PSR_Country_Group__c,PSR_Current_Approved_Amount__c,PSR_Current_Execution_End_Date__c,PSR_Current_Last_Disbursement_Date__c,PSR_Disbursed_Amount__c,PSR_Executing_Agency_Text__c,PSR_Executing_Agency__c,PSR_Financing_Type__c,PSR_First_Disbursement_Date__c,PSR_First_Elegibility_Date__c,PSR_Fund_Currency__c,PSR_Fund__c,PSR_Increased_Amount__c,PSR_Operation__c,PSR_Original_Approved_Amount__c,PSR_Original_Execution_End_Date__c,PSR_Original_Last_Disbursement_Date__c,PSR_Region__c,PSR_Signature_Date__c,PSR_Status__c,PSR_Sub_Operation_ID2__c,PSR_Subtype__c,PSR_Has_One_Achieved_Milestone_Per_Sem__c,PSR_Totally_Disbursed_Date__c,PSR_Type__c,Percentage_Disbursed__c,PSR_Exceptional_Applicability__c,PSR_Country_Admin__c,PSR_Country_Beneficiary__c,PSR_Total_Elegibility_Date__c,PSR_Executing_Agency_Acronym__c,Fund__c,ORP_BeneficiaryCountry__c,ORP_ClosedDate__c,ORP_CommittedAmount__c,ORP_CountryGroup__c,ORP_CurrentExecutingDivision__c,ORP_EffectiveDate__c,ORP_ExecutionStatus__c,ORP_Instrument__c,ORP_MostRecentDisbursement__c,ORP_OrgUnit__c,ORP_ParticipantCountries__c,ORP_ProjectObjective__c,ORP_TypeofSupport__c,PSR_ActiveMilestones__c,PSR_Category86__c,PSR_ComplyRulesForDisbursement__c,PSR_CumulativeAmountLocalContribution__c,PSR_DeadlineForSignatureOLD__c,PSR_DeadlineForSignature__c,PSR_Disbursement_Consecutive_Number__c,PSR_EmailNotificationsEvaluated__c,PSR_LifecycleMilestones__c,PSR_MilestonePriorCondition__c,PSR_NeedsStatementOfExpenses__c,PSR_NextMilestoneAboutToDue__c,PSR_OverDueMilestones__c,PSR_PendingJustificationDate__c,PSR_PercentageofJustification__c,PSR_PerformanceAlerts__c,PSR_PosponedPriorConditions__c,PSR_PosponedSignature__c,PSR_LastDisbursementTransaction__c,PSR_LatestPSR__c,PSR_OverdueClause__c,PSR_Threshold__c,PSR_GeneratePSR__c,Errors
ATN/KT-8574-RS,ATN/KT-8574-RS,2003-12-17,0,4803.78,false,R,145196.22,,2007-03-31,145196.22,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2004-04-27,2004-04-22,USD,KTC,0,a0X22000001556qEAA,150000,,2005-10-20,REG,2004-04-20,CF,,,false,2007-06-13,TCP,1,PSR_Applied,,Regional,2004-04-22,US-IDB,,RG,2007-06-13,,R,IFD,2004-04-20,Closed,Technical Cooperation,2007-02-22,IFD/CMF,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NP-8321-RS,ATN/NP-8321-RS,2003-05-29,0,0,false,R,140000,,2004-09-30,140000,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-06-26,2003-06-16,USD,NPE,0,a0X22000001556rEAA,140000,,2004-01-31,REG,2003-05-29,CF,,,false,2004-10-04,TCP,1,PSR_Applied,,Regional,2003-06-16,US-IDB,,RG,2004-10-04,,R,INE,2003-05-29,Closed,Technical Cooperation,2004-09-30,INE/RND,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
GRT/IT-8293-RS,GRT/IT-8293-RS,2003-04-30,0,11193.87,false,R,844383.13,,2004-12-31,844383.13,INTER-AMERICAN DEVELOPMENT BANK,,GRT,2004-07-02,2003-04-30,USD,ITI,0,a0X22000001556sEAA,318000,,2004-08-31,REG,2003-04-30,CF,,,false,2006-06-19,TCP,1,PSR_Applied,,Regional,2003-04-30,US-IDB,,RG,2006-06-19,,R,IFD,2003-04-30,Closed,Technical Cooperation,2004-09-29,IFD/ICS,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NC-8304-RS,ATN/NC-8304-RS,2003-05-08,0,0,false,R,110000,,2004-11-08,110000,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-05-30,2003-05-15,USD,NFC,0,a0X22000001556tEAA,110000,,2004-11-08,REG,2003-05-08,CF,,,false,2004-10-04,TCP,1,PSR_Applied,,Regional,2003-05-15,US-IDB,,RG,2004-10-04,,R,CID,2003-05-08,Closed,Technical Cooperation,2004-09-17,CID/CHO,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NP-8516-RS,ATN/NP-8516-RS,2003-11-20,0,33315.08,false,R,116684.92,,2007-06-22,116684.92,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2005-03-11,2004-03-23,USD,NPE,0,a0X22000001556uEAA,150000,,2005-03-22,REG,2004-03-23,CF,,,false,2007-08-08,TCP,1,PSR_Applied,,Regional,2004-03-23,US-IDB,,RG,2007-08-08,,R,INE,2004-03-23,Closed,Technical Cooperation,2007-06-08,INE/RND,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NI-8318-RS,ATN/NI-8318-RS,2003-05-21,0,140,false,R,87860,,2006-11-30,87860,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-06-12,2003-05-21,USD,NSI,0,a0X22000001556vEAA,88000,,2005-05-31,REG,2003-05-21,CF,,,false,2006-09-15,TCP,1,PSR_Applied,,Regional,2003-05-21,US-IDB,,RG,2006-09-15,,R,SCL,2003-05-21,Closed,Technical Cooperation,2006-08-08,SCL/SPH,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/FF-8337-RS,ATN/FF-8337-RS,2003-06-13,0,8000,false,R,142000,,2005-07-31,142000,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-10-07,2003-08-20,USD,FCF,0,a0X22000001556wEAA,150000,,2004-12-31,REG,2003-06-13,CF,,,false,2005-08-23,TCP,1,PSR_Applied,,Regional,2003-08-20,US-IDB,,RG,2005-08-23,,R,SCL,2003-06-13,Closed,Technical Cooperation,2005-04-22,SCL/SPH,,"The objective of this project is to document and disseminate the impact of various efforts by donor agencies on domestic violence interventions in the Caribbean region. In particular, this TC will fund surveys and analysis of the data to gauge the impact of the donor-financed trainings on different targetted groups (the police, trainers and victims) and the general public with a view to informing Bank&#39;s future support in this sector.",N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NO-8434-RG,ATN/NO-8434-RG,2003-09-11,0,15818.81,false,R,9181.19,,2004-09-30,9181.19,INTER-AMERICAN DEVELOPMENT BANK,,,2003-10-14,2003-09-11,USD,NOW,0,a0X22000001556xEAA,25000,,2004-09-30,REG,2003-09-11,CF,,,false,2004-04-28,TCP,0,PSR_Applied,,Regional,2003-09-11,US-IDB,,,2004-04-28,,R,,2003-09-11,Closed,Technical Cooperation,,,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NI-8610-RS,ATN/NI-8610-RS,2004-01-16,0,3758.64,false,R,81241.36,,2007-01-16,81241.36,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2004-01-29,2004-01-16,USD,NSI,0,a0X22000001556yEAA,85000,,2006-01-16,REG,2004-01-16,CF,,,false,2007-02-22,TCP,1,PSR_Applied,,Regional,2004-01-16,US-IDB,,RG,2007-02-22,,R,SCL,2004-01-16,Closed,Technical Cooperation,2006-12-28,SCL/SPH,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/FC-8353-RS,ATN/FC-8353-RS,2003-06-26,0,1524,false,R,146476,,2006-08-31,146476,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2004-01-09,2003-12-17,USD,FHR,0,a0X22000001556zEAA,148000,,2005-06-30,REG,2003-07-19,CF,,,false,2006-08-23,TCP,1,PSR_Applied,,Regional,2003-12-17,US-IDB,,RG,2006-08-23,,R,INE,2003-07-19,Closed,Technical Cooperation,2006-07-07,INE/RND,,The long-term objective is the development of national and regional strategies for a competitive transition of the Central American coffee Sector. The short term objective is to support coffee producers with the income diversification process by improving their access to information and assistance regarding alternative products and markets.,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/FF-8402-RS,ATN/FF-8402-RS,2003-08-15,0,769.3,false,R,94230.7,,2006-03-31,94230.7,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-10-09,2003-08-15,USD,FCF,0,a0X220000015570EAA,95000,,2004-05-31,REG,2003-08-15,CF,,,false,2006-04-14,TCP,1,PSR_Applied,,Regional,2003-08-15,US-IDB,,RG,2006-04-14,,R,IFD,2003-08-15,Closed,Technical Cooperation,2006-04-04,IFD/CTI,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/NS-8399-RS,ATN/NS-8399-RS,2003-08-14,0,1357.75,false,R,133282.25,,2005-11-15,133282.25,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-09-25,2003-08-14,USD,NIS,0,a0X220000015571EAA,134640,,2004-11-14,REG,2003-08-14,CF,,,false,2005-12-27,TCP,1,PSR_Applied,,Regional,2003-08-14,US-IDB,,RG,2005-12-27,,R,IFD,2003-08-14,Closed,Technical Cooperation,2005-07-12,IFD/FMM,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/SC-8389-RS,ATN/SC-8389-RS,2003-08-08,0,34511.3,false,R,115453.7,,2005-05-31,115453.7,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-10-07,2003-08-08,USD,SWC,0,a0X220000015572EAA,149965,,2005-05-31,REG,2003-08-08,CF,,,false,2005-02-03,TCP,1,PSR_Applied,,Regional,2003-08-08,US-IDB,,RG,2005-02-03,,R,SCL,2003-08-08,Closed,Technical Cooperation,2004-12-22,SCL/SPH,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/IT-8224-AR,ATN/IT-8224-AR,2003-02-13,0,43106.4,false,A,76693.6,,2004-07-31,76693.6,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2003-07-18,2003-07-01,USD,ITI,0,a0X220000015573EAA,119800,,2004-07-31,CSC,2003-02-13,CF,,,false,2004-09-07,TCP,1,PSR_Applied,,Argentina,2003-07-01,US-IDB,,AR,2004-09-07,,A,CSC,2003-02-13,Closed,Technical Cooperation,2004-03-22,CSC/CAR,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/KB-8051-RS,ATN/KB-8051-RS,2002-10-09,0,4867.76,false,R,54587.24,,2007-04-30,54587.24,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2002-10-28,2002-10-22,USD,CAB,0,a0X220000015575EAA,53000,,2003-10-31,REG,2002-10-09,CF,,,false,2007-04-05,TCP,1,PSR_Applied,,Regional,2002-10-22,US-IDB,,RG,2007-04-05,,R,SCL,2002-10-09,Closed,Technical Cooperation,2007-01-19,SCL/SCL,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
ATN/IT-7991-RS,ATN/IT-7991-RS,2002-08-19,0,15207,false,R,69793,,2005-12-31,69793,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2002-11-27,2002-11-19,USD,ITI,0,a0X220000015576EAA,85000,,2003-03-31,REG,2002-10-23,CF,,,false,2006-05-17,TCP,1,PSR_Applied,,Regional,2002-11-19,US-IDB,,RG,2006-06-01,,R,ORP,2002-10-23,Closed,Technical Cooperation,2005-12-30,ORP/GCM,,EN,N/A,,,,,,,0,true,,,false,,,,,,No,,,,,,false,
