Client__c,Operation__c,RelationshipKey__c,Type__c,Errors
0012200000VBjKyAAL,a0X2200000153YIEAY,TC0111042|BR-VMB|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jV:--
0012200000VBjKzAAL,a0X2200000153YlEAI,RG-T3095|BR-FGV|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jW:--
0012200000VBjKzAAL,a0X2200000153WVEAY,RG-T1089|BR-FGV|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jX:--
0012200000VBjL0AAL,a0X2200000153YOEAY,CH-L1051|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jY:--
0012200000VBjL0AAL,a0X2200000153WwEAI,CH0056|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jZ:--
0012200000VBjL0AAL,a0X2200000153WgEAI,CH0021|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ja:--
0012200000VBjL0AAL,a0X2200000153X7EAI,CH0118|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jb:--
0012200000VBjL0AAL,a0X2200000153WlEAI,CH0019|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jc:--
0012200000VBjL0AAL,a0X2200000153WOEAY,CH-L1098|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jd:--
0012200000VBjL0AAL,a0X2200000153X1EAI,CH0086|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5je:--
0012200000VBjL0AAL,a0X2200000153WiEAI,CH0027|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jf:--
0012200000VBjL0AAL,a0X2200000153XmEAI,CH-L1084|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jg:--
0012200000VBjL0AAL,a0X2200000153XpEAI,CH-L1085|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jh:--
0012200000VBjL0AAL,a0X2200000153WjEAI,CH0033|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ji:--
0012200000VBjL0AAL,a0X2200000153XOEAY,CH0060|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jj:--
0012200000VBjL0AAL,a0X2200000153WqEAI,CH0055|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jk:--
0012200000VBjL0AAL,a0X2200000153WPEAY,CH-L1105|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jl:--
0012200000VBjL0AAL,a0X2200000153YWEAY,CH-L1012|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jm:--
0012200000VBjL0AAL,a0X2200000153X4EAI,CH0103|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jn:--
0012200000VBjL0AAL,a0X2200000153WZEAY,CH-L1148|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5jo:--
